Simple Model Trial #:,Time to Train 250 Batches(s):,Batch Size:,Minimum Validation Loss:,Epoch:,Time to Test (s):,Testing Loss:,Testing Accuracy:
1,54.684,64,3703472128,60,210.84,16483930112,3.88%
2,54.264,64,3988992768,65,210.481,17546629120,3.57%
3,53.808,64,4122681856,65,211.601,18191943680,3.43%
4,53.387,64,3845891072,65,211.482,17013275648,3.65%
5,52.173,64,3821509632,60,211.609,17003041792,3.70%
Semi-Complex Trial #:,Time to Train 250 Batches(s):,,Minimum Validation Loss:,Epoch:,Time to Test (s):,Testing Loss:,Testing Accuracy (%):
1,,64,,,,,
2,,64,,,,,
3,,64,,,,,
4,,64,,,,,
5,,64,,,,,
Complex Model Trial #:,Time to Train 250 Batches(s):,,Minimum Validation Loss:,Epoch:,Time to Test (s):,Testing Loss:,Testing Accuracy (%):
1,,64,,,,,
2,,64,,,,,
3,,64,,,,,
4,,64,,,,,
5,,64,,,,,
